year,title,author,author_gender,POS,POS_ADJF/PRTF,genre,canon_status,narration
1906,Лунные ночи,"Пазухин, Алексей Михайлович",m,ADJF NOUN,ADJF/PRTF NOUN,Социально-психологический,0,3 лицо
1906,На баррикаде,"Пазухин, Алексей Михайлович",m,PREP NOUN,PREP NOUN,любовный,0,3 лицо
1906,Гордиев узел,"Соколова, Александра Ивановна",f,NOUN NOUN,NOUN NOUN,,0,
1906,Камни,"Фёдоров, Александр Митрофанович",m,NOUN,NOUN,,0,
1907,Санин,"Арцыбашев, Михаил Петрович",m,NOUN,NOUN,социально- психологический роман,0,3 лицо
1907,Красная звезда,"Богданов, Александр Александрович",m,ADJF NOUN,ADJF/PRTF NOUN,"Утопический, фантастика, научная фантастика",0,1 лицо
1907,Огненный ангел,"Брюсов, Валерий Яковлевич",m,ADJF NOUN,ADJF/PRTF NOUN,"символистский,  ангелы, демоны, жизнетворчество",1,1 лицо
1907,Дух времени,"Вербицкая, Анастасия Алексеевна",f,NOUN NOUN,NOUN NOUN,"исторический, любовный",0,3 лицо
1907,Тайные силы,"Волконский, Михаил Николаевич",m,ADJF NOUN,ADJF/PRTF NOUN,"историко-авантюрный роман, неофициальная история",0,3 лицо
1907,Язычники,"Головин (Орловский), Константин Федорович",m,NOUN,NOUN,роман о современной жизни,0,
1907,Мать,"Горький, Максим",m,NOUN,NOUN,"социально-психологический, революционеры, рабочие, крестьяне",1,3 лицо
1907,Сатиресса,"Кондратьев, Александр Алексеевич",m,NOUN,NOUN,"мифологический, люди и мифические существа",0,3 лицо
1907,Фараон Мернефта,"Крыжановская (Рочестер), Вера Ивановна ",f,NOUN NOUN,NOUN NOUN,"исторический, библия, Древний Египет, Моисей",0,1 лицо
1907,Наши дни. Семейная история,"Луговой, Алексей Алексеевич",m,ADJF NOUN ADJF NOUN,ADJF/PRTF NOUN ADJF/PRTF NOUN,"социально-психологический, дворяне",0,3 лицо
1907,Предатель,"Маклецова, Наталия Петровна",f,NOUN,NOUN,"политический, народовольцы",0,3 лицо
1907,Во тьме,"Минцлов, Сергей Рудольфович",m,PREP NOUN,PREP NOUN,о раскольниках,0,
1907,Менэ… тэкел… фарес…,"Наживин, Иван Федорович",m,NOUN NOUN NOUN,NOUN NOUN NOUN,автобиографический роман,0, 
1907,История одной молодости,"Потапенко, Игнатий Николаевич",m,NOUN ADJF NOUN,NOUN ADJF/PRTF NOUN,социально-психологический,0,1 лицо
1907,Темный блеск,"Светлов, Валериан Яковлевич",m,ADJF NOUN,ADJF/PRTF NOUN,семейно-бытовой,0,
1907,Бабаев,"Сергеев-Ценский, Сергей Николаевич",m,NOUN,NOUN,"социально-психологический, военные",0,3 лицо
1907,Творимая легенда,"Сологуб, Федор Кузьмич",m,PRTF NOUN,ADJF/PRTF NOUN,"социально-психологический, (?) утопический; творческие люди; трилогия",1,1 лицо
1907,Злая сила,"Тютчев, Федор Федорович",m,ADJF NOUN,ADJF/PRTF NOUN,,0,3 лицо
1907,"Грозный идол, или Строители ада на земле","Эльснер, Анатолий Оттович",m,NOUN NOUN CONJ NOUN NOUN PREP NOUN,NOUN NOUN CONJ NOUN NOUN PREP NOUN,"фантастика, утопия, антиутопия, социальный, аллегория",0,
1908,Восьмидесятники,"Амфитеатров, Александр Валентинович",m,NOUN,NOUN,Из эпопеи «Концы и начала»,0,3 лицо
1908,Княжна,"Амфитеатров, Александр Валентинович",m,NOUN,NOUN,исторический,0,3 лицо
1908,Хищники,"Апраксин, Александр Дмитриевич",m,NOUN,NOUN,уголовный роман,0,
1908,Хищники,"Бебутова, Ольга Михайловна",f,NOUN,NOUN,детективный,0,
1908,Великая разруха,"Боборыкин, Петр Дмитриевич",m,ADJF NOUN,ADJF/PRTF NOUN,Соц.-психологический,0,3 лицо
1908,Гладиаторы наших дней,"Брешко-Брешковский, Николай Николаевич",m,NOUN ADJF NOUN,NOUN ADJF/PRTF NOUN,"социально-психологическйи, борцы",0,
1908,Чемпион мира,"Брешко-Брешковский, Николай Николаевич",m,NOUN NOUN,NOUN NOUN,"социально-психологическйи, борцы",0,
1908,Люди,"Каменский, Анатолий Павлович",m,NOUN,NOUN,"социально-психологический, любовный",0,3 лицо
1908,Дети,"Крашенинников, Николай Александрович",m,NOUN,NOUN,"Соц. Психологичский, исторический / разные поколения людей",0, 
1908,Бенедиктинское аббатство,"Крыжановская (Рочестер), Вера Ивановна ",f,ADJF NOUN,ADJF/PRTF NOUN,"исторический, Средневековье, приключения, готический, мистика, романтика",0,1 лицо
1908,Золотые кресты,"Новиков, Иван Алексеевич",m,NOUN NOUN,NOUN NOUN,"роман о нигилизме, эзотерический, любовный",0,3 лицо
1908,От каторги к миллионам,"Орловец, П.",m,PREP NOUN PREP NOUN,PREP NOUN PREP NOUN,,0,
1908,Антихрист,"Свенцицкий, Валентин Павлович",m,NOUN,NOUN,Записки стран. человека; исповедь,0,1 лицо
1908,Неравный брак,"Светлов, Валериан Яковлевич",m,ADJF NOUN,ADJF/PRTF NOUN,,0,
